api_name, name, lat, long
TRUE GRIT'S, True Grit's Dining Hall, 39.25579239848943, -76.70774746301952
Wild Greens, Wild Greens, 39.25510631849656, -76.71111325383241
Halal Shack, Halal Shack, 39.25518885701059, -76.71137381365875
Dunkin', Dunkin, 39.25456046005272, -76.71106212699955
Chick-fil-A, Chick-fil-A, 39.25414481349409, -76.71291550055203
2.Mato, 2.Mato, 39.25512648103092, -76.71121394829719
Commons Retriever Market, Commons Retriever Market, 39.25512648103092, -76.71121394829719
Copperhead Jacks, Copperhead Jacks, 39.255148288803476, -76.71127094523622
Hissho, Hissho, 39.25519189438983, -76.71127028124181
rbc, rbc, 39.25518930816724, -76.71124479370278
The Skylight Room, The Skylight Room, 39.255008462116535, -76.71068141955072
Sorrentos, Sorrentos, 39.25519657741852, -76.71135476426421
Student Choice, Student Choice, 39.25512232716872, -76.71133397714527
Einstein Brother's Bagels, Einstein Brother's Bagels, 39.25640491623738, -76.71162495241681
Starbucks, Starbucks, 39.25427471682431, -76.71323086681052
The Coffee Shop, The Coffee Shop, 39.25294158464396, -76.71348604175182
True Grit's Retriever Market, True Grit's Retriever Market, 39.25568457647287, -76.70773784764805
